#GRM21BR6YA106KE43,,
#In Production,,
#2024/04/26,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC1Vrms,,
DC Bias[V],Capacitance[F],
0.0,1.0497999999999998E-5,
0.175,1.053768508199406E-5,
0.35,1.0552545374930615E-5,
0.5249999999999999,1.0543852859729564E-5,
0.7,1.0512992951415525E-5,
0.875,1.0461436195854444E-5,
1.0499999999999998,1.0390711810992236E-5,
1.2249999999999999,1.0302383372366975E-5,
1.4,1.019802684440107E-5,
1.575,1.0079211071221981E-5,
1.75,9.947480764537443E-6,
1.9249999999999998,9.80434196179009E-6,
2.0999999999999996,9.651249875300538E-6,
2.275,9.489599011836239E-6,
2.4499999999999997,9.320715411179318E-6,
2.625,9.145850830775307E-6,
2.8,8.966178690278406E-6,
2.9749999999999996,8.782791583575237E-6,
3.15,8.596700165487073E-6,
3.3249999999999997,8.408833224692605E-6,
3.5,8.220038762434725E-6,
3.675,8.031085907333057E-6,
3.8499999999999996,7.842667509290416E-6,
4.0249999999999995,7.655403269343178E-6,
4.199999999999999,7.4698432767657905E-6,
4.375,7.2864718393102974E-6,
4.55,7.105711506755501E-6,
4.725,6.9279272016608755E-6,
4.8999999999999995,6.7534303841505335E-6,
5.074999999999999,6.582483189543792E-6,
5.25,6.415302488609893E-6,
5.425,6.252063830111131E-6,
5.6,6.0929052341043865E-6,
5.7749999999999995,5.937930812218696E-6,
5.949999999999999,5.787214197860661E-6,
6.125,5.640801775080282E-6,
6.3,5.498715699728262E-6,
6.475,5.360956710628044E-6,
6.6499999999999995,5.2275067318517055E-6,
6.824999999999999,5.098331269906832E-6,
7.0,4.973381611789176E-6,
7.175,4.852596831505835E-6,
7.35,4.7359056138951865E-6,
7.5249999999999995,4.62322790542535E-6,
7.699999999999999,4.514476402200567E-6,
7.874999999999999,4.409557885695917E-6,
8.049999999999999,4.3083744168215E-6,
8.225,4.2108243988279495E-6,
8.399999999999999,4.116803519341038E-6,
8.575,4.026205581485078E-6,
8.75,3.938923233648338E-6,
8.924999999999999,3.854848606981133E-6,
9.1,3.7738738692169996E-6,
9.274999999999999,3.6958917028844403E-6,
9.45,3.620795715444074E-6,
9.625,3.548480788353089E-6,
9.799999999999999,3.478843371534088E-6,
9.975,3.411781729214652E-6,
10.149999999999999,3.3471961426119026E-6,
10.325,3.284989074466344E-6,
10.5,3.225065299983737E-6,
10.674999999999999,3.167332008323872E-6,
10.85,3.1116988783818295E-6,
11.024999999999999,3.0580781322408E-6,
11.2,3.0063845693350582E-6,
11.375,2.956535584047451E-6,
11.549999999999999,2.9084511691757517E-6,
11.725,2.8620539074366127E-6,
11.899999999999999,2.817268952932236E-6,
12.075,2.7740240042828902E-6,
12.25,2.7322492709262027E-6,
12.424999999999999,2.6918774339004746E-6,
12.6,2.6528436022631048E-6,
12.774999999999999,2.615085266144745E-6,
12.95,2.578542247304322E-6,
13.125,2.5431566479279674E-6,
13.299999999999999,2.5088727983054244E-6,
13.475,2.4756372039192574E-6,
13.649999999999999,2.443398492394472E-6,
13.825,2.4121073606778917E-6,
14.0,2.3817165227471436E-6,
14.174999999999999,2.352180658087357E-6,
14.35,2.3234563611192426E-6,
14.524999999999999,2.29550209171438E-6,
14.7,2.2682781268914014E-6,
14.874999999999998,2.241746513750525E-6,
15.049999999999999,2.215871023672E-6,
15.225,2.190617107777146E-6,
15.399999999999999,2.1659518536276546E-6,
15.575,2.141843943119585E-6,
15.749999999999998,2.1182636115125175E-6,
15.924999999999999,2.0951826075219116E-6,
16.099999999999998,2.072574154392512E-6,
16.275,2.0504129118634737E-6,
16.45,2.028674938930861E-6,
16.625,2.007337657310485E-6,
16.799999999999997,1.986379815502756E-6,
16.974999999999998,1.9657814533623533E-6,
17.15,1.9455238670777734E-6,
17.325,1.9255895744693836E-6,
17.5,1.9059622805196867E-6,
17.674999999999997,1.886626843055421E-6,
17.849999999999998,1.867569238508008E-6,
18.025,1.848776527686438E-6,
18.2,1.8302368215047697E-6,
18.375,1.8119392466154813E-6,
18.549999999999997,1.7938739109085348E-6,
18.724999999999998,1.776031868845244E-6,
18.9,1.7584050866057723E-6,
19.075,1.7409864070375713E-6,
19.25,1.7237695144019117E-6,
19.424999999999997,1.7067488989238872E-6,
19.599999999999998,1.6899198211600883E-6,
19.775,1.6732782762059462E-6,
19.95,1.6568209577721869E-6,
20.125,1.6405452221666566E-6,
20.299999999999997,1.624449052224189E-6,
20.474999999999998,1.6085310212318402E-6,
20.65,1.5927902569023912E-6,
20.825,1.5772264054517081E-6,
21.0,1.5618395958394312E-6,
21.174999999999997,1.5466304042334892E-6,
21.349999999999998,1.5315998187608567E-6,
21.525,1.5167492046065065E-6,
21.7,1.502080269522433E-6,
21.875,1.4875950298063104E-6,
22.049999999999997,1.4732957768077766E-6,
22.224999999999998,1.4591850440162996E-6,
22.4,1.4452655747814127E-6,
22.575,1.4315402907108057E-6,
22.75,1.418012260786189E-6,
22.924999999999997,1.404684671232111E-6,
23.099999999999998,1.391560796164653E-6,
23.275,1.3786439690413009E-6,
23.45,1.3659375549251455E-6,
23.625,1.3534449235689896E-6,
23.799999999999997,1.3411694233168457E-6,
23.974999999999998,1.3291143558122063E-6,
24.15,1.3172829514936793E-6,
24.325,1.3056783458504458E-6,
24.5,1.2943035564014987E-6,
24.674999999999997,1.283161460353842E-6,
24.849999999999998,1.2722547728869006E-6,
25.025,1.2615860260022853E-6,
25.2,1.2511575478697123E-6,
25.375,1.2409714425928579E-6,
25.549999999999997,1.231029570311604E-6,
25.724999999999998,1.221333527550126E-6,
25.9,1.2118846277142824E-6,
26.075,1.2026838816360682E-6,
26.25,1.1937319780575864E-6,
26.424999999999997,1.1850292639428557E-6,
